epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,156.286,1.01519,0.60443,1.09345,0.76211,0.74665,0.80643,0.44318,1.24919,0.73212,1.16064,0.0011882,0.0011882,0.0011882
43,159.906,1.03926,0.62471,1.11887,0.81466,0.76597,0.80691,0.43705,1.22756,0.68988,1.14879,0.0011684,0.0011684,0.0011684
44,163.528,1.00571,0.61825,1.09689,0.84474,0.78768,0.83873,0.4893,1.21791,0.6808,1.14345,0.0011486,0.0011486,0.0011486
45,167.176,1.0049,0.60938,1.09759,0.81585,0.77346,0.83246,0.48893,1.22001,0.6743,1.12763,0.0011288,0.0011288,0.0011288
46,170.803,1.00256,0.57731,1.07178,0.83421,0.76944,0.81542,0.48179,1.21294,0.70246,1.1328,0.001109,0.001109,0.001109
47,174.432,1.01661,0.57664,1.07986,0.81391,0.7739,0.83488,0.48016,1.22763,0.68632,1.14455,0.0010892,0.0010892,0.0010892
48,178.073,1.02792,0.59777,1.08474,0.81364,0.77748,0.83621,0.50828,1.21285,0.65336,1.13526,0.0010694,0.0010694,0.0010694
49,181.795,0.96357,0.57668,1.07744,0.8166,0.75871,0.82768,0.49411,1.19824,0.6395,1.12839,0.0010496,0.0010496,0.0010496
50,185.523,0.97257,0.56434,1.07345,0.84542,0.75515,0.83044,0.49819,1.22619,0.66977,1.14442,0.0010298,0.0010298,0.0010298
51,189.143,1.00168,0.57289,1.08645,0.8429,0.78284,0.84693,0.49516,1.18866,0.6622,1.12353,0.00101,0.00101,0.00101
52,192.772,0.96738,0.55418,1.08129,0.84651,0.78365,0.84496,0.49937,1.1996,0.62287,1.13568,0.0009902,0.0009902,0.0009902
53,196.405,0.97461,0.56949,1.0733,0.84967,0.76521,0.83074,0.49831,1.22452,0.6494,1.14065,0.0009704,0.0009704,0.0009704
54,200.007,0.93456,0.53928,1.06021,0.83244,0.78583,0.83838,0.49663,1.20906,0.66172,1.13425,0.0009506,0.0009506,0.0009506
55,203.622,0.97081,0.55729,1.08502,0.83333,0.73724,0.82309,0.48143,1.18629,0.64704,1.12655,0.0009308,0.0009308,0.0009308
56,207.245,0.98023,0.55718,1.09071,0.83884,0.77882,0.8422,0.49351,1.18643,0.64829,1.12112,0.000911,0.000911,0.000911
57,210.831,0.96524,0.53384,1.06725,0.85731,0.76944,0.84173,0.50352,1.20219,0.6559,1.12324,0.0008912,0.0008912,0.0008912
58,214.49,0.93868,0.52974,1.06512,0.88513,0.73458,0.84755,0.51875,1.20928,0.66172,1.12707,0.0008714,0.0008714,0.0008714
59,218.132,0.92743,0.5367,1.07176,0.83865,0.78729,0.84471,0.50605,1.19669,0.62208,1.12531,0.0008516,0.0008516,0.0008516
60,221.741,0.93331,0.5241,1.06494,0.85397,0.73592,0.82915,0.49545,1.19294,0.65914,1.11889,0.0008318,0.0008318,0.0008318
61,225.368,0.91212,0.50076,1.05179,0.8273,0.7834,0.84238,0.49336,1.20491,0.61694,1.13119,0.000812,0.000812,0.000812
62,228.995,0.94634,0.51623,1.04959,0.83397,0.75737,0.84137,0.48169,1.1997,0.65383,1.1285,0.0007922,0.0007922,0.0007922
63,232.66,0.94777,0.5227,1.05849,0.84119,0.76139,0.83657,0.48073,1.18343,0.62728,1.11642,0.0007724,0.0007724,0.0007724
64,236.32,0.89747,0.49642,1.04759,0.82328,0.79625,0.84938,0.50905,1.18853,0.63745,1.12646,0.0007526,0.0007526,0.0007526
65,239.937,0.936,0.51059,1.05866,0.82304,0.78556,0.84096,0.4888,1.20583,0.63647,1.13929,0.0007328,0.0007328,0.0007328
66,243.565,0.9202,0.51449,1.05489,0.8466,0.77078,0.84869,0.50368,1.21987,0.64138,1.14589,0.000713,0.000713,0.000713
